baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.61.1|725|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop	5.99595162298323	3.94959497291822	1.26045639185255	3.13346419475356	0.00172755994187093	0.00468231777593304
MSTRG.64.1|321|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop	2.95226885126799	-4.61220589405843	1.56062666968039	-2.95535504016665	0.00312309422012529	0.00794023437315502
MSTRG.74.1|478|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop	8.98237526471556	3.81298347297408	0.857867850474816	4.44472125964816	8.8005894521753e-06	3.98232603027275e-05
MSTRG.91.1|2416|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop	6148.64915429149	0.766475340830914	0.221270346103031	3.46397677922019	0.000532252453776635	0.00164436035958817
MSTRG.142.1|501|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop	4.4088811449617	5.34316185335776	1.42679576283684	3.74486804105317	0.000180488615564759	0.0006158623735978
MSTRG.145.1|773|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop	4.20524237186088	4.31234721311234	1.26281247292751	3.41487537188737	0.000638112011701908	0.0019435095160471
MSTRG.301.1|315|u|NA|Supercontig_3.11_C_tropicalis_MYA-3404|ctrop	4.84560874058451	-2.78393758847506	0.853391790041609	-3.26220338766011	0.00110549795906535	0.00315416378939313
MSTRG.360.1|509|u|NA|Supercontig_3.11_C_tropicalis_MYA-3404|ctrop	4.06720194426703	-5.08034656529197	1.59032966745277	-3.19452417273279	0.00140061555161627	0.00388910583535131
MSTRG.458.1|616|x|CTRG_06080-T|Supercontig_3.11_C_tropicalis_MYA-3404|ctrop	61.1114005431717	2.15066676696866	0.270121090800259	7.96186169912578	1.69469838264035e-15	3.40318139327348e-14
MSTRG.552.1|484|x|CTRG_06139-T|Supercontig_3.11_C_tropicalis_MYA-3404|ctrop	28.3273164666944	2.24780428205524	0.530850582130603	4.23434457401089	2.29219253029197e-05	9.4781596548132e-05
MSTRG.627.1|311|x|CTRG_06193-T|Supercontig_3.12_C_tropicalis_MYA-3404|ctrop	141.094322161578	1.52747296284884	0.51199692374856	2.98336355551811	0.00285099121765074	0.00732065472039166
MSTRG.827.1|1135|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	55.0921973574434	-2.15759245717321	0.606580970107103	-3.55697353445204	0.000375151934334213	0.00119552974062315
MSTRG.850.1|690|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	22.8544550467857	2.09894924088715	0.642788719156297	3.26537970928014	0.00109317426012118	0.0031285730444791
MSTRG.852.1|520|x|CTRG_00090-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	5.50128636611178	-5.27653401203532	1.54144613997698	-3.423106312436	0.000619098588717371	0.00189108935723931
MSTRG.944.1|1727|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	4.80107591937548	-3.16699020819214	1.0671108140408	-2.96781755607911	0.00299922294453226	0.00765910477529779
MSTRG.949.1|292|x|CTRG_00156-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	10.317816336548	-6.33010539118028	1.60224333739479	-3.9507765415164	7.78980309283251e-05	0.000286913590001036
MSTRG.955.1|695|x|CTRG_00159-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	6426.8745078782	-1.28206277898089	0.189138896020999	-6.77841948933944	1.21497650198419e-11	1.42238671654885e-10
MSTRG.990.1|315|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	4.17551303889466	3.69719922588251	1.23196609738429	3.00105598176151	0.00269045097299562	0.006961666296956
MSTRG.1029.1|224|x|CTRG_00211-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	5.50385972361018	-6.52464470702748	1.87116517344721	-3.48694214685882	0.000488577034528759	0.0015223146354248
MSTRG.1049.1|359|x|CTRG_00222-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	8.60008276258083	2.76786123431626	0.924189841315321	2.99490549514914	0.00274529884916472	0.00707740741397072
MSTRG.1087.1|479|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	3.36860268481469	-5.52100657216536	1.71729750261822	-3.21493891637758	0.00130472282570028	0.00364575346169378
MSTRG.1103.1|596|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	16564.8702458272	-2.83186728687601	0.957041081490397	-2.95898195139748	0.00308657178252324	0.00786064427867114
MSTRG.1227.1|1033|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	16.4036957296251	2.01097650539592	0.613607498648508	3.27730105943158	0.00104804556306483	0.00301483703096854
MSTRG.1318.1|411|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	5.11808231307029	2.51831718721869	0.801840535069762	3.14067084049273	0.00168561363582057	0.00458788614107582
MSTRG.1335.1|443|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	3.15005377046174	4.5101265932648	1.4853278171834	3.03645198123151	0.00239380234004503	0.00627924276323062
MSTRG.1367.1|439|x|CTRG_00444-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	9.08607426919398	2.92068749225572	0.833386998584079	3.50459930046659	0.000457294992101319	0.00143389397224448
MSTRG.1388.1|432|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	5.83780156209698	3.89292566531631	0.988693079827809	3.93744605352583	8.23534382086114e-05	0.000301954664826748
MSTRG.1534.1|743|x|CTRG_00547-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	3.70906286435901	-5.83576878810644	1.56808264827472	-3.72159515605075	0.000197968237227741	0.000669647251493892
MSTRG.1560.1|382|x|CTRG_00565-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	21.9584381279322	2.80844430483671	0.866184203291761	3.24231762039041	0.00118561806156452	0.0033519966348173
MSTRG.1688.1|597|x|CTRG_00647-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	8.79765656710367	3.19979407976136	0.922643441592647	3.46807221025485	0.000524206408549941	0.00162069561450026
MSTRG.1716.1|598|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	6.90974474417461	4.87502489698108	1.20351410152383	4.05065872581681	5.10736510449045e-05	0.000195046509040459
MSTRG.1777.1|1267|x|CTRG_00688-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	40.8028558808153	2.5218897226173	0.660323735099338	3.81917170104133	0.000133900538276591	0.000470867665812195
MSTRG.1798.1|302|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	3.08260499458139	5.44563384097892	1.41010332394623	3.86186866487138	0.000112523054700135	0.000403812963297535
MSTRG.1824.1|391|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	5.57361100876319	4.52223688428931	1.31555597062384	3.43751006059046	0.000587088909486799	0.00180117847450007
MSTRG.1844.1|220|x|CTRG_00727-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	9.60178225179365	2.55808314091223	0.790226507745256	3.23715177337087	0.0012072918389222	0.00340295758761348
MSTRG.1865.1|1805|x|CTRG_00741-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	10.6904850060626	-4.19887640393534	0.965875212293995	-4.34722451771262	1.3787107102956e-05	5.99321476034246e-05
MSTRG.1969.1|806|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	8.7601518353491	3.17659840242022	1.00636017143192	3.15652237896133	0.00159662635026256	0.00437505353431863
MSTRG.1991.1|1117|x|CTRG_00832-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	120.708976459094	1.54952485180479	0.409276764987802	3.78600737779721	0.000153087131014632	0.000531656341637078
MSTRG.2016.1|731|x|CTRG_00842-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	231.580216152706	1.8543507530414	0.373498736098482	4.96481132014448	6.87678925947254e-07	3.8303761807573e-06
MSTRG.2114.1|606|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	31.0085477036198	1.843360173185	0.530600230594353	3.47410360361163	0.000512563083033395	0.00158703597159067
MSTRG.2145.1|477|x|CTRG_00925-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	12.6540475065049	1.97909397387674	0.666623902716271	2.96883139925315	0.00298934566235139	0.00763852891621843
MSTRG.2223.1|886|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	15.6413863961463	-2.05425801796786	0.68247753126617	-3.01000095073706	0.00261246871997125	0.00678288352472585
MSTRG.2273.1|276|x|CTRG_01013-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	23.5243631007367	2.43729970937143	0.793118136748912	3.07306011102233	0.00211875804111	0.0056174526206814
MSTRG.2295.1|1288|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	8.23132221297636	4.7822018892222	1.37808415449159	3.47018131921449	0.000520107128826764	0.00160861431074866
MSTRG.2323.1|209|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	3.98466043269794	3.2999013305102	1.11123357859365	2.96958388774254	0.00298203380359934	0.00762216557472987
MSTRG.2326.1|213|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	102.629976733718	1.38060773069861	0.316152871138957	4.36689923366787	1.26022831159395e-05	5.53550834511753e-05
