Run	SRA_Study
SRR944258	SRP028297
SRR944259	SRP028297
SRR944260	SRP028297
SRR944261	SRP028297
SRR944262	SRP028297
SRR944263	SRP028297
SRR944264	SRP028297
SRR954869	SRP028941
SRR954874	SRP028940
SRR954875	SRP028942
SRR954882	SRP028943
SRR954883	SRP028944
SRR954884	SRP028944
SRR954885	SRP028944
SRR954886	SRP028944
SRR954887	SRP028944
SRR954888	SRP028944
SRR1027797	SRP032814
SRR1027798	SRP032814
SRR1044400	SRP033563
SRR1044401	SRP033563
SRR1044402	SRP033563
SRR1044403	SRP033563
SRR1044404	SRP033563
SRR1044405	SRP033563
SRR1044406	SRP033563
SRR1044407	SRP033563
SRR1044408	SRP033563
SRR1044409	SRP033563
SRR1044410	SRP033563
SRR1061351	SRP034741
SRR1061352	SRP034741
SRR1061353	SRP034741
SRR1172024	SRP038181
SRR1172078	SRP038181
SRR1172132	SRP038181
SRR1172271	SRP038181
SRR1172398	SRP038181
SRR1172404	SRP038181
SRR1172659	SRP038181
SRR1175268	SRP038181
SRR1184274	SRP038181
SRR1184284	SRP038181
SRR1184404	SRP038181
SRR1186232	SRP038181
SRR1237072	SRP038181
SRR1237086	SRP038181
SRR1237087	SRP038181
SRR1237107	SRP038181
SRR1237115	SRP038181
SRR1237116	SRP038181
SRR1237165	SRP038181
SRR1237188	SRP038181
SRR1237308	SRP038181
SRR1237325	SRP038181
SRR1237749	SRP038181
SRR1237760	SRP038181
SRR1172041	SRP038187
SRR1172077	SRP038187
SRR1172331	SRP038187
SRR1172374	SRP038187
SRR1172397	SRP038187
SRR1172409	SRP038187
SRR1172658	SRP038187
SRR1172966	SRP038187
SRR1184268	SRP038187
SRR1184277	SRP038187
SRR1184414	SRP038187
SRR1186229	SRP038187
SRR1237079	SRP038187
SRR1237080	SRP038187
SRR1237097	SRP038187
SRR1237098	SRP038187
SRR1237104	SRP038187
SRR1237113	SRP038187
SRR1237179	SRP038187
SRR1237187	SRP038187
SRR1237293	SRP038187
SRR1237712	SRP038187
SRR1237757	SRP038187
SRR1273814	SRP038187
SRR1172049	SRP038189
SRR1172248	SRP038189
SRR1172395	SRP038189
SRR1172408	SRP038189
SRR1172418	SRP038189
SRR1172683	SRP038189
SRR1173002	SRP038189
SRR1174893	SRP038189
SRR1184280	SRP038189
SRR1184282	SRP038189
SRR1184402	SRP038189
SRR1186223	SRP038189
SRR1237070	SRP038189
SRR1237074	SRP038189
SRR1237099	SRP038189
SRR1237114	SRP038189
SRR1237120	SRP038189
SRR1237121	SRP038189
SRR1237196	SRP038189
SRR1237211	SRP038189
SRR1237284	SRP038189
SRR1237719	SRP038189
SRR1237758	SRP038189
SRR1273794	SRP038189
SRR1172076	SRP038192
SRR1172216	SRP038192
SRR1172236	SRP038192
SRR1172384	SRP038192
SRR1172389	SRP038192
SRR1172419	SRP038192
SRR1172670	SRP038192
SRR1175267	SRP038192
SRR1184269	SRP038192
SRR1184278	SRP038192
SRR1184409	SRP038192
SRR1186228	SRP038192
SRR1237032	SRP038192
SRR1237033	SRP038192
SRR1237068	SRP038192
SRR1237096	SRP038192
SRR1237105	SRP038192
SRR1237118	SRP038192
SRR1237199	SRP038192
SRR1237204	SRP038192
SRR1237313	SRP038192
SRR1237323	SRP038192
SRR1237709	SRP038192
SRR1237756	SRP038192
SRR1172126	SRP038195
SRR1172307	SRP038195
SRR1172386	SRP038195
SRR1172403	SRP038195
SRR1172421	SRP038195
SRR1172665	SRP038195
SRR1174845	SRP038195
SRR1175274	SRP038195
SRR1184281	SRP038195
SRR1184285	SRP038195
SRR1184408	SRP038195
SRR1186231	SRP038195
SRR1237055	SRP038195
SRR1237061	SRP038195
SRR1237062	SRP038195
SRR1237090	SRP038195
SRR1237093	SRP038195
SRR1237101	SRP038195
SRR1237205	SRP038195
SRR1237212	SRP038195
SRR1237285	SRP038195
SRR1237736	SRP038195
SRR1237763	SRP038195
SRR1273804	SRP038195
SRR1172137	SRP038196
SRR1172153	SRP038196
SRR1172295	SRP038196
SRR1172324	SRP038196
SRR1172390	SRP038196
SRR1172427	SRP038196
SRR1172677	SRP038196
SRR1172866	SRP038196
SRR1184273	SRP038196
SRR1184283	SRP038196
SRR1184412	SRP038196
SRR1186225	SRP038196
SRR1237053	SRP038196
SRR1237069	SRP038196
SRR1237091	SRP038196
SRR1237100	SRP038196
SRR1237103	SRP038196
SRR1237125	SRP038196
SRR1237171	SRP038196
SRR1237178	SRP038196
SRR1237314	SRP038196
SRR1237315	SRP038196
SRR1237743	SRP038196
SRR1274980	SRP038196
SRR1172160	SRP038200
SRR1172354	SRP038200
SRR1172415	SRP038200
SRR1172420	SRP038200
SRR1172434	SRP038200
SRR1172671	SRP038200
SRR1172964	SRP038200
SRR1174843	SRP038200
SRR1184270	SRP038200
SRR1184276	SRP038200
SRR1184410	SRP038200
