45 45C 45Creseq 46a 47 48 49 50 51 52 52reseq 52reseq2 53 53reseq 54 55 56 57
MSTRG.61.1|725|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 0 1 0 3 1 4 21 23 28 19 5 1 4 5 2 2 4
MSTRG.62.1|413|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 0 2 3 2 6 9 10 8 10 10 5 4 3 0 3 12 8
MSTRG.63.1|553|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 0 1 0 2 2 2 0 2 4 5 2 1 1 2 1 7 8
MSTRG.64.1|321|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 7 2 4 3 3 1 8 1 2 0 1 0 0 0 0 0 4 1
CTRG_05821|384 344 661 1757 442 125 170 215 74 106 60 75 23 57 84 61 82 314 251
CTRG_05822|1458 148 110 297 180 207 148 179 526 573 539 647 199 128 171 115 140 242 231
CTRG_05823|2277 107 191 427 255 136 135 152 205 255 195 312 86 112 173 185 187 297 228
CTRG_05824|2163 5713 2848 7348 5216 1520 1145 849 11750 13067 12195 15006 4441 2744 3804 3085 4795 8230 6848
CTRG_05825|609 592 1349 3333 623 395 513 469 386 591 513 607 182 266 382 262 307 842 717
CTRG_05826|714 48 108 288 106 34 70 58 88 99 93 89 31 60 75 74 81 121 103
CTRG_05827|2058 4958 7916 20503 1454 10702 7750 15070 193 334 209 259 62 65 102 143 137 202 182
MSTRG.74.1|478|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 1 6 0 2 4 6 19 13 15 22 6 10 11 17 13 4 1
CTRG_05828|1554 1177 4916 12827 6286 394 341 355 2401 3784 3501 4497 1326 31932 46666 34344 47432 15826 13546
CTRG_05829|2091 39637 11089 29826 48822 29530 16480 27327 55546 57943 59196 73191 21440 20679 29639 29876 38258 53818 47666
CTRG_05830|1242 827 411 1022 882 1838 2155 2046 1418 1462 1624 2100 643 417 598 694 752 771 781
MSTRG.79.1|246|x|CTRG_05830-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 1 1 5 0 0 0 1 1 2 1 0 0 0 0 0 2 4
CTRG_05831|420 144 46 111 332 206 268 458 13 18 18 25 2 10 26 32 16 52 34
CTRG_05832|1236 219 651 1761 509 968 971 1242 1036 1418 1219 1498 405 557 732 553 751 2045 1662
CTRG_05833|999 38 69 190 85 5036 2670 3644 1080 1649 1459 1737 499 359 552 347 498 882 783
CTRG_05834|1404 929 988 2492 1810 372 281 438 849 988 881 1095 327 568 855 708 884 1113 857
CTRG_05835|1953 174 22 77 289 1886 1381 1533 4681 5201 5090 6267 1789 1266 1680 1455 2051 1612 1451
CTRG_05836|768 10783 8349 21749 7813 6608 5723 6406 10504 14423 12244 15267 4412 5940 8803 7877 9948 24973 20066
MSTRG.88.1|471|x|CTRG_05836-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 5 27 48 13 10 8 4 19 14 9 11 4 6 6 6 15 26 22
